Journal of Statistical Software:  ['Software', 'Statistics and Probability', 'Statistics, Probability and Uncertainty']
Biological Cybernetics:  ['Computer Science (miscellaneous)', 'Biotechnology (Q2)']
Integrated Computer-Aided Engineering:  ['Software', 'Artificial Intelligence (Q2)', 'Computational Theory and Mathematics (Q2)', 'Computer Science Applications (Q2)', 'Theoretical Computer Science (Q2)']
International Journal of Mobile Communications:  ['Computer Networks and Communications', 'Electrical and Electronic Engineering', 'Computer Science Applications (Q2)']
Complex Analysis and Operator Theory:  ['Applied Mathematics (Q2)', 'Computational Mathematics (Q2)', 'Computational Theory and Mathematics (Q2)']
Pattern Recognition Letters:  ['Computer Vision and Pattern Recognition', 'Software', 'Artificial Intelligence (Q2)', 'Signal Processing (Q2)']
Interactive Learning Environments:  ['Education', 'E-learning', 'Computer Science Applications (Q2)']
Medical and Biological Engineering and Computing:  ['Biomedical Engineering (Q2)', 'Computer Science Applications (Q2)']
Human-centric Computing and Information Sciences:  ['Computer Science (miscellaneous)']
IEEE Transactions on Emerging Topics in Computing:  ['Computer Science (miscellaneous)', 'Human-Computer Interaction', 'Computer Science Applications (Q2)', 'Information Systems (Q2)']
International Journal of Innovative Computing, Information and Control:  ['Software', 'Computational Theory and Mathematics (Q2)', 'Information Systems (Q2)', 'Theoretical Computer Science (Q2)']
Profesional de la Informacion:  ['Communication', 'Library and Information Sciences', 'Information Systems (Q2)']
Bioprinting:  ['Biomedical Engineering (Q2)', 'Biotechnology (Q2)', 'Computer Science Applications (Q2)']
Journal of Automated Reasoning:  ['Software', 'Artificial Intelligence (Q2)', 'Computational Theory and Mathematics (Q2)']
International Journal of Critical Infrastructure Protection:  ['Computer Science Applications (Q2)', 'Information Systems and Management (Q2)', 'Modeling and Simulation (Q2)', 'Safety, Risk, Reliability and Quality (Q2)']
Journal of Educational Computing Research:  ['Computer Science Applications (Q2)', 'Education (Q2)']
Concurrent Engineering Research and Applications:  ['Engineering (miscellaneous)', 'Computer Science Applications (Q2)', 'Modeling and Simulation (Q2)']
Cognition, Technology and Work:  ['Human-Computer Interaction', 'Philosophy', 'Computer Science Applications (Q2)']
Journal of Pathology Informatics:  ['Computer Science Applications (Q2)', 'Health Informatics (Q2)', 'Pathology and Forensic Medicine (Q2)']
Information Technology and Libraries:  ['Library and Information Sciences', 'Information Systems (Q2)']
Digital Investigation:  ['Law', 'Computer Science Applications (Q2)', 'Medical Laboratory Technology (Q2)']
Mobile Networks and Applications:  ['Computer Networks and Communications', 'Hardware and Architecture', 'Software', 'Information Systems (Q2)']
IEEE Transactions on Network and Service Management:  ['Computer Networks and Communications', 'Electrical and Electronic Engineering']
Journal of Computing and Information Science in Engineering:  ['Computer Graphics and Computer-Aided Design', 'Industrial and Manufacturing Engineering', 'Computer Science Applications (Q2)', 'Software (Q2)']
CoDesign:  ['Architecture', 'Computer Graphics and Computer-Aided Design', 'Visual Arts and Performing Arts']
Online Information Review:  ['Library and Information Sciences', 'Computer Science Applications (Q2)', 'Information Systems (Q2)']
Games and Culture:  ['Anthropology', 'Communication', 'Cultural Studies', 'Human-Computer Interaction', 'Applied Psychology (Q2)', 'Arts and Humanities (miscellaneous) (Q2)']
Applied Clinical Informatics:  ['Computer Science Applications (Q2)', 'Health Informatics (Q2)', 'Health Information Management (Q2)']
International Journal of Artificial Intelligence:  ['Artificial Intelligence (Q2)']
Journal of Medical Systems:  ['Health Informatics (Q2)', 'Health Information Management (Q2)', 'Information Systems (Q2)', 'Medicine (miscellaneous) (Q2)']
International Journal of Control, Automation and Systems:  ['Computer Science Applications (Q2)', 'Control and Systems Engineering (Q2)']
Journal of Dynamic Systems, Measurement and Control, Transactions of the ASME:  ['Computer Science Applications (Q2)', 'Control and Systems Engineering (Q2)', 'Information Systems (Q2)', 'Instrumentation (Q2)', 'Mechanical Engineering (Q2)']
International Journal of Computer Assisted Radiology and Surgery:  ['Computer Graphics and Computer-Aided Design', 'Computer Vision and Pattern Recognition', 'Biomedical Engineering (Q2)', 'Computer Science Applications (Q2)', 'Health Informatics (Q2)', 'Medicine (miscellaneous) (Q2)', 'Radiology, Nuclear Medicine and Imaging (Q2)', 'Surgery (Q2)']
Technology, Knowledge and Learning:  ['Engineering (miscellaneous)', 'Human-Computer Interaction', 'Computational Theory and Mathematics (Q2)', 'Computer Science Applications (Q2)', 'Education (Q2)', 'Mathematics (miscellaneous) (Q2)', 'Theoretical Computer Science (Q2)']
Journal of Documentation:  ['Library and Information Sciences', 'Information Systems (Q2)']
Mathematics and Computers in Simulation:  ['Computer Science (miscellaneous)', 'Applied Mathematics (Q2)', 'Modeling and Simulation (Q2)', 'Theoretical Computer Science (Q2)', 'Numerical Analysis (Q3)']
Image and Vision Computing:  ['Electrical and Electronic Engineering', 'Computer Vision and Pattern Recognition (Q2)', 'Signal Processing (Q2)']
Games for health journal:  ['Computer Science Applications (Q2)', 'Health (social science) (Q2)', 'Public Health, Environmental and Occupational Health (Q2)', 'Rehabilitation (Q2)']
International Journal of Artificial Intelligence in Education:  ['E-learning', 'Computational Theory and Mathematics (Q2)', 'Education (Q2)']
International Journal of Human Computer Studies:  ['Engineering (miscellaneous)', 'Hardware and Architecture', 'Human-Computer Interaction', 'Human Factors and Ergonomics', 'Education (Q2)', 'Software (Q2)']
Sensing and Bio-Sensing Research:  ['Electrical and Electronic Engineering', 'Biotechnology (Q2)', 'Electronic, Optical and Magnetic Materials (Q2)', 'Signal Processing (Q2)']
IEEE Transactions on Human-Machine Systems:  ['Computer Networks and Communications', 'Human-Computer Interaction', 'Artificial Intelligence (Q2)', 'Computer Science Applications (Q2)', 'Control and Systems Engineering (Q2)', 'Human Factors and Ergonomics (Q2)', 'Signal Processing (Q2)']
Journal on Data Semantics:  ['Computer Networks and Communications', 'Artificial Intelligence (Q2)', 'Information Systems (Q2)']
Applied Intelligence:  ['Artificial Intelligence (Q2)']
Diqiu Kexue - Zhongguo Dizhi Daxue Xuebao/Earth Science - Journal of China University of Geosciences:  ['Building and Construction (Q2)', 'Computer Science Applications (Q2)', 'Earth and Planetary Sciences (miscellaneous) (Q2)']
Computer Graphics Forum:  ['Computer Networks and Communications', 'Computer Graphics and Computer-Aided Design (Q2)']
Computational Management Science:  ['Information Systems (Q2)', 'Management Information Systems (Q2)']
Soft Computing:  ['Geometry and Topology (Q2)', 'Software (Q2)', 'Theoretical Computer Science (Q2)']
Journal of Laboratory Automation:  ['Computer Science Applications (Q2)', 'Medical Laboratory Technology (Q2)', 'Medicine (miscellaneous) (Q2)']
Discrete Mathematics and Theoretical Computer Science:  ['Computer Science (miscellaneous)', 'Discrete Mathematics and Combinatorics (Q2)', 'Theoretical Computer Science (Q2)']
Optical Materials:  ['Computer Science (miscellaneous)', 'Electrical and Electronic Engineering', 'Atomic and Molecular Physics, and Optics (Q2)', 'Electronic, Optical and Magnetic Materials (Q2)']
Computers in Biology and Medicine:  ['Computer Science Applications (Q2)', 'Health Informatics (Q2)']
ACM Transactions on Management Information Systems:  ['Computer Science (miscellaneous)', 'Management Information Systems (Q2)']
Smart Structures and Systems:  ['Electrical and Electronic Engineering', 'Computer Science Applications (Q2)', 'Control and Systems Engineering (Q2)']
IEEE Communications Letters:  ['Electrical and Electronic Engineering', 'Computer Science Applications (Q2)', 'Modeling and Simulation (Q2)']
Electronic Journal of Information Technology in Construction:  ['Building and Construction (Q2)', 'Civil and Structural Engineering (Q2)', 'Computer Science Applications (Q2)']
Theory and Decision:  ['Economics, Econometrics and Finance (miscellaneous)', 'Arts and Humanities (miscellaneous) (Q2)', 'Computer Science Applications (Q2)', 'Decision Sciences (miscellaneous) (Q2)', 'Social Sciences (miscellaneous) (Q2)', 'Applied Psychology (Q3)', 'Developmental and Educational Psychology (Q3)']
Information and Software Technology:  ['Computer Science Applications (Q2)', 'Information Systems (Q2)', 'Software (Q2)']
Journal of Advanced Transportation:  ['Automotive Engineering', 'Computer Science Applications (Q2)', 'Economics and Econometrics (Q2)', 'Mechanical Engineering (Q2)', 'Strategy and Management (Q2)']
Journal of Computational Design and Engineering:  ['Engineering (miscellaneous)', 'Computational Mathematics (Q2)', 'Computational Mechanics (Q2)', 'Computer Graphics and Computer-Aided Design (Q2)', 'Human-Computer Interaction (Q2)', 'Modeling and Simulation (Q2)']
Online Learning Journal:  ['Computer Networks and Communications', 'Education (Q2)']
Computer Methods in Biomechanics and Biomedical Engineering:  ['Bioengineering (Q2)', 'Biomedical Engineering (Q2)', 'Computer Science Applications (Q2)', 'Human-Computer Interaction (Q2)', 'Medicine (miscellaneous) (Q2)']
Cognitive Processing:  ['Artificial Intelligence (Q2)', 'Medicine (miscellaneous) (Q2)', 'Cognitive Neuroscience (Q3)', 'Experimental and Cognitive Psychology (Q3)']
Journal of Combinatorial Optimization:  ['Applied Mathematics (Q2)', 'Computational Theory and Mathematics (Q2)', 'Computer Science Applications (Q2)', 'Control and Optimization (Q2)', 'Discrete Mathematics and Combinatorics (Q2)']
Engineering Optimization:  ['Industrial and Manufacturing Engineering', 'Applied Mathematics (Q2)', 'Computer Science Applications (Q2)', 'Control and Optimization (Q2)', 'Management Science and Operations Research (Q2)']
Communications of the Association for Information Systems:  ['Information Systems (Q2)']
Journal of Formalized Reasoning:  ['Computer Science (miscellaneous)', 'Mathematics (miscellaneous) (Q2)']
Molecular Informatics:  ['Computer Science Applications (Q2)', 'Drug Discovery (Q2)', 'Organic Chemistry (Q2)', 'Molecular Medicine (Q3)', 'Structural Biology (Q4)']
ACM Transactions on Computational Logic:  ['Computer Science (miscellaneous)', 'Computational Mathematics (Q2)', 'Logic (Q2)', 'Theoretical Computer Science (Q2)']
IEEE Transactions on Nanotechnology:  ['Computer Science Applications (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Nanoscience and Nanotechnology (Q2)']
Molecular Simulation:  ['Chemical Engineering (miscellaneous) (Q2)', 'Chemistry (miscellaneous) (Q2)', 'Condensed Matter Physics (Q2)', 'Information Systems (Q2)', 'Materials Science (miscellaneous) (Q2)', 'Modeling and Simulation (Q2)']
Ecological Psychology:  ['Computer Science (miscellaneous)', 'Ecology, Evolution, Behavior and Systematics (Q2)', 'Social Psychology (Q2)', 'Experimental and Cognitive Psychology (Q3)']
Journal of Electronic Packaging, Transactions of the ASME:  ['Computer Science Applications (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Electronic, Optical and Magnetic Materials (Q2)', 'Mechanics of Materials (Q2)']
Dynamic Games and Applications:  ['Applied Mathematics (Q2)', 'Computational Mathematics (Q2)', 'Computational Theory and Mathematics (Q2)', 'Computer Graphics and Computer-Aided Design (Q2)', 'Computer Science Applications (Q2)', 'Statistics and Probability (Q3)']
Requirements Engineering:  ['Information Systems (Q2)', 'Software (Q2)']
IEEE Transactions on Nanobioscience:  ['Bioengineering (Q2)', 'Biomedical Engineering (Q2)', 'Biotechnology (Q2)', 'Computer Science Applications (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Medicine (miscellaneous) (Q2)', 'Nanoscience and Nanotechnology (Q2)', 'Pharmaceutical Science (Q2)']
Operational Research:  ['Computational Theory and Mathematics (Q2)', 'Management of Technology and Innovation (Q2)', 'Management Science and Operations Research (Q2)', 'Modeling and Simulation (Q2)', 'Strategy and Management (Q2)', 'Numerical Analysis (Q3)', 'Statistics, Probability and Uncertainty (Q3)']
Advances in Bioinformatics:  ['Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2)', 'Biomedical Engineering (Q2)', 'Computer Science Applications (Q2)']
JASSS:  ['Computer Science (miscellaneous)', 'Social Sciences (miscellaneous) (Q2)']
Information and Learning Science:  ['Library and Information Sciences', 'Computer Science Applications (Q2)', 'Education (Q2)']
International Journal of Computational Intelligence Systems:  ['Computer Science (miscellaneous)', 'Computational Mathematics (Q2)']
First Monday:  ['Computer Networks and Communications', 'Law', 'Human-Computer Interaction (Q2)']
ACM Transactions on Information Systems:  ['Business, Management and Accounting (miscellaneous)', 'Computer Science Applications (Q2)', 'Information Systems (Q2)']
Algorithmica:  ['Computer Science (miscellaneous)', 'Applied Mathematics (Q2)', 'Computer Science Applications (Q2)']
Journal of Web Librarianship:  ['Library and Information Sciences', 'Computer Science Applications (Q2)']
IEEE Intelligent Systems:  ['Computer Networks and Communications', 'Artificial Intelligence (Q2)']
International Journal of Information Security:  ['Computer Networks and Communications', 'Information Systems (Q2)', 'Safety, Risk, Reliability and Quality (Q2)', 'Software (Q2)']
International Biomechanics:  ['Biomedical Engineering (Q2)', 'Computer Science Applications (Q2)', 'Orthopedics and Sports Medicine (Q2)', 'Physical Therapy, Sports Therapy and Rehabilitation (Q2)', 'Rehabilitation (Q2)']
Journal of Spatial Information Science:  ['Geography, Planning and Development (Q2)', 'Information Systems (Q2)', 'Computers in Earth Sciences (Q3)']
Signal Processing: Image Communication:  ['Computer Vision and Pattern Recognition (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Signal Processing (Q2)', 'Software (Q2)']
Digital Signal Processing: A Review Journal:  ['Electrical and Electronic Engineering (Q2)', 'Signal Processing (Q2)']
Journal of Discrete Algorithms:  ['Computational Theory and Mathematics (Q2)', 'Discrete Mathematics and Combinatorics (Q2)', 'Theoretical Computer Science (Q2)']
Designs, Codes, and Cryptography:  ['Applied Mathematics (Q2)', 'Computer Science Applications (Q2)']
IEEE Access:  ['Computer Science (miscellaneous)', 'Engineering (miscellaneous)', 'Materials Science (miscellaneous) (Q2)']
IEEE Transactions on Software Engineering:  ['Software (Q2)']
Electronics (Switzerland):  ['Computer Networks and Communications', 'Hardware and Architecture', 'Control and Systems Engineering (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Signal Processing (Q2)']
Speech Communication:  ['Language and Linguistics', 'Linguistics and Language', 'Communication (Q2)', 'Computer Science Applications (Q2)', 'Computer Vision and Pattern Recognition (Q2)', 'Modeling and Simulation (Q2)', 'Software (Q2)']
ACM Transactions on Computation Theory:  ['Computational Theory and Mathematics (Q2)', 'Theoretical Computer Science (Q2)']
Perception:  ['Artificial Intelligence (Q2)', 'Experimental and Cognitive Psychology (Q3)', 'Ophthalmology (Q3)', 'Sensory Systems (Q3)']
IEEE Circuits and Systems Magazine:  ['Computer Science Applications (Q2)', 'Electrical and Electronic Engineering (Q2)']
Journal of Computer and System Sciences:  ['Computer Networks and Communications', 'Applied Mathematics (Q2)', 'Computational Theory and Mathematics (Q2)', 'Theoretical Computer Science (Q2)']
Numerical Functional Analysis and Optimization:  ['Computer Science Applications (Q2)', 'Control and Optimization (Q2)', 'Signal Processing (Q2)', 'Analysis (Q3)']
Journal of Digital Imaging:  ['Computer Science Applications (Q2)', 'Radiological and Ultrasound Technology (Q2)', 'Radiology, Nuclear Medicine and Imaging (Q2)']
Computer Speech and Language:  ['Human-Computer Interaction (Q2)', 'Software (Q2)', 'Theoretical Computer Science (Q2)']
Discrete Optimization:  ['Applied Mathematics (Q2)', 'Computational Theory and Mathematics (Q2)', 'Theoretical Computer Science (Q2)']
Journal of Intelligent and Robotic Systems: Theory and Applications:  ['Industrial and Manufacturing Engineering', 'Artificial Intelligence (Q2)', 'Control and Systems Engineering (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Mechanical Engineering (Q2)', 'Software (Q2)']
IEEE Transactions on Haptics:  ['Computer Science Applications (Q2)', 'Human-Computer Interaction (Q2)']
Information Technology and Tourism:  ['Computer Science (miscellaneous)', 'Social Sciences (miscellaneous) (Q2)']
Circuits, Systems, and Signal Processing:  ['Applied Mathematics (Q2)', 'Signal Processing (Q2)']
Computer Science Education:  ['Computer Science (miscellaneous)', 'Education (Q2)']
ACM Transactions on Programming Languages and Systems:  ['Software (Q2)']
Digital Communications and Networks:  ['Computer Networks and Communications', 'Hardware and Architecture', 'Communication (Q2)']
Ad Hoc Networks:  ['Computer Networks and Communications', 'Hardware and Architecture', 'Software (Q2)']
Public Transport:  ['Information Systems (Q2)', 'Management Science and Operations Research (Q2)', 'Mechanical Engineering (Q2)', 'Transportation (Q2)']
Information Systems Management:  ['Library and Information Sciences', 'Computer Science Applications (Q2)', 'Information Systems (Q2)']
Theory and Practice of Logic Programming:  ['Hardware and Architecture', 'Artificial Intelligence (Q2)', 'Computational Theory and Mathematics (Q2)', 'Software (Q2)', 'Theoretical Computer Science (Q2)']
Journal of Hospitality and Tourism Technology:  ['Computer Science Applications (Q2)', 'Information Systems (Q2)', 'Tourism, Leisure and Hospitality Management (Q2)']
Human-Computer Interaction:  ['Human-Computer Interaction (Q2)', 'Applied Psychology (Q3)']
Systems Science and Control Engineering:  ['Artificial Intelligence (Q2)', 'Control and Optimization (Q2)', 'Control and Systems Engineering (Q2)']
Acta Informatica:  ['Computer Networks and Communications', 'Information Systems (Q2)', 'Software (Q2)']
Ethics and Information Technology:  ['Library and Information Sciences', 'Computer Science Applications (Q2)']
Open Systems and Information Dynamics:  ['Computational Mechanics (Q2)', 'Fluid Flow and Transfer Processes (Q2)', 'Information Systems (Q2)', 'Mechanics of Materials (Q2)', 'Mathematical Physics (Q3)', 'Physical and Theoretical Chemistry (Q3)', 'Statistical and Nonlinear Physics (Q3)', 'Statistics and Probability (Q3)']
IEEE Transactions on Multi-Scale Computing Systems:  ['Hardware and Architecture', 'Control and Systems Engineering (Q2)', 'Information Systems (Q2)']
Journal of Molecular Graphics and Modelling:  ['Computer Graphics and Computer-Aided Design (Q2)', 'Materials Chemistry (Q2)', 'Spectroscopy (Q2)', 'Physical and Theoretical Chemistry (Q3)']
Neural Processing Letters:  ['Computer Networks and Communications', 'Artificial Intelligence (Q2)', 'Software (Q2)', 'Neuroscience (miscellaneous) (Q3)']
International Journal of Human-Computer Interaction:  ['Computer Science Applications (Q2)', 'Human-Computer Interaction (Q2)', 'Human Factors and Ergonomics (Q2)']
Journal of Computational Science:  ['Computer Science (miscellaneous)', 'Modeling and Simulation (Q2)', 'Theoretical Computer Science (Q2)']
International Journal of Uncertainty, Fuzziness and Knowlege-Based Systems:  ['Artificial Intelligence (Q2)', 'Control and Systems Engineering (Q2)', 'Information Systems (Q2)', 'Software (Q2)']
Journal of Organizational Computing and Electronic Commerce:  ['Computational Theory and Mathematics (Q2)', 'Computer Science Applications (Q2)', 'Information Systems (Q2)']
Journal of Optical Communications and Networking:  ['Computer Networks and Communications']
Information and Computation:  ['Computational Theory and Mathematics (Q2)', 'Computer Science Applications (Q2)', 'Information Systems (Q2)', 'Theoretical Computer Science (Q2)']
Journal of Visual Communication and Image Representation:  ['Media Technology', 'Computer Vision and Pattern Recognition (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Signal Processing (Q2)']
Engineering:  ['Computer Science (miscellaneous)', 'Engineering (miscellaneous)', 'Chemical Engineering (miscellaneous) (Q2)', 'Energy Engineering and Power Technology (Q2)', 'Environmental Engineering (Q2)', 'Materials Science (miscellaneous) (Q2)']
Journal of Computational Finance:  ['Computer Science Applications (Q2)', 'Finance (Q2)', 'Applied Mathematics (Q3)']
Journal of Information Systems:  ['Accounting (Q2)', 'Human-Computer Interaction (Q2)', 'Information Systems (Q2)', 'Information Systems and Management (Q2)', 'Management Information Systems (Q2)', 'Management of Technology and Innovation (Q2)', 'Software (Q2)']
Journal of Parallel and Distributed Computing:  ['Hardware and Architecture', 'Artificial Intelligence (Q2)', 'Computer Networks and Communications (Q2)', 'Software (Q2)', 'Theoretical Computer Science (Q2)']
PeerJ Computer Science:  ['Computer Science (miscellaneous)']
Computer Networks:  ['Computer Networks and Communications (Q2)']
Computational Geometry: Theory and Applications:  ['Computational Mathematics (Q2)', 'Computational Theory and Mathematics (Q2)', 'Computer Science Applications (Q2)', 'Control and Optimization (Q2)', 'Geometry and Topology (Q3)']
International Journal of Humanoid Robotics:  ['Artificial Intelligence (Q2)', 'Mechanical Engineering (Q2)']
Journal of Interactive Online Learning:  ['Computer Science Applications (Q2)', 'Education (Q2)', 'E-learning (Q2)', 'Human-Computer Interaction (Q2)']
Multidimensional Systems and Signal Processing:  ['Hardware and Architecture', 'Artificial Intelligence (Q2)', 'Computer Science Applications (Q2)', 'Information Systems (Q2)', 'Signal Processing (Q2)', 'Software (Q2)', 'Applied Mathematics (Q3)']
Molecular Diversity:  ['Information Systems (Q2)', 'Medicine (miscellaneous) (Q2)', 'Catalysis (Q3)', 'Drug Discovery (Q3)', 'Inorganic Chemistry (Q3)', 'Organic Chemistry (Q3)', 'Physical and Theoretical Chemistry (Q3)', 'Molecular Biology (Q4)']
ACM Transactions on Software Engineering and Methodology:  ['Software (Q2)']
IEEE Transactions on Computational Intelligence and AI in Games:  ['Artificial Intelligence (Q2)', 'Control and Systems Engineering (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Software (Q2)']
Journal of Artificial Intelligence and Soft Computing Research:  ['Hardware and Architecture', 'Artificial Intelligence (Q2)', 'Computer Vision and Pattern Recognition (Q2)', 'Information Systems (Q2)', 'Modeling and Simulation (Q2)']
Applied Ontology:  ['Computer Science (miscellaneous)', 'Language and Linguistics', 'Linguistics and Language']
Applied Categorical Structures:  ['Computer Science (miscellaneous)', 'Theoretical Computer Science (Q2)']
International Journal of e-Collaboration:  ['Computer Networks and Communications (Q2)', 'Computer Science Applications (Q2)']
Flow Measurement and Instrumentation:  ['Computer Science Applications (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Instrumentation (Q2)', 'Modeling and Simulation (Q2)']
Theoretical Computer Science:  ['Computer Science (miscellaneous)', 'Theoretical Computer Science (Q2)']
ACM Transactions on Autonomous and Adaptive Systems:  ['Computer Science (miscellaneous)', 'Control and Systems Engineering (Q2)', 'Software (Q2)']
Jixie Gongcheng Xuebao/Chinese Journal of Mechanical Engineering:  ['Computer Science Applications (Q2)', 'Mechanical Engineering (Q2)', 'Applied Mathematics (Q3)']
Nordic Journal of Digital Literacy:  ['Computer Science Applications (Q2)', 'Education (Q2)', 'E-learning (Q2)']
Signal, Image and Video Processing:  ['Electrical and Electronic Engineering (Q2)', 'Signal Processing (Q2)']
Engineering with Computers:  ['Engineering (miscellaneous)', 'Computer Science Applications (Q2)', 'Modeling and Simulation (Q2)', 'Software (Q2)']
Machine Vision and Applications:  ['Hardware and Architecture', 'Computer Science Applications (Q2)', 'Computer Vision and Pattern Recognition (Q2)', 'Software (Q2)']
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems:  ['Computer Graphics and Computer-Aided Design (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Software (Q2)']
Journal of Intelligent Information Systems:  ['Hardware and Architecture', 'Artificial Intelligence (Q2)', 'Computer Networks and Communications (Q2)', 'Information Systems (Q2)', 'Software (Q2)']
International Journal of Embedded Systems:  ['Hardware and Architecture', 'Software (Q2)']
International Journal of Child-Computer Interaction:  ['Education (Q2)', 'Human-Computer Interaction (Q2)']
GeoInformatica:  ['Geography, Planning and Development (Q2)', 'Information Systems (Q2)']
Information Polity:  ['Communication (Q2)', 'Geography, Planning and Development (Q2)', 'Information Systems (Q2)', 'Public Administration (Q2)', 'Sociology and Political Science (Q2)']
Journal of Theoretical and Applied Electronic Commerce Research:  ['Business, Management and Accounting (miscellaneous) (Q2)', 'Computer Science Applications (Q2)']
International Journal of Information Technology and Decision Making:  ['Computer Science (miscellaneous)']
Software and Systems Modeling:  ['Modeling and Simulation (Q2)', 'Software (Q2)']
Transforming Government: People, Process and Policy:  ['Computer Science Applications (Q2)', 'E-learning (Q2)', 'Information Systems and Management (Q2)', 'Public Administration (Q2)']
Computers and Composition:  ['Computer Science (miscellaneous)', 'Language and Linguistics', 'Linguistics and Language', 'Education (Q2)']
Journal of Systems and Software:  ['Hardware and Architecture', 'Information Systems (Q2)', 'Software (Q2)']
International Journal of Fuzzy Systems:  ['Artificial Intelligence (Q2)', 'Computational Theory and Mathematics (Q2)', 'Software (Q2)', 'Theoretical Computer Science (Q2)']
Computer Languages, Systems and Structures:  ['Computer Networks and Communications (Q2)', 'Software (Q2)']
World Wide Web:  ['Hardware and Architecture', 'Computer Networks and Communications (Q2)', 'Software (Q2)']
Journal of Graph Algorithms and Applications:  ['Computer Science (miscellaneous)', 'Computer Science Applications (Q2)', 'Theoretical Computer Science (Q2)', 'Computational Theory and Mathematics (Q3)', 'Geometry and Topology (Q3)']
Informatica:  ['Information Systems (Q2)', 'Applied Mathematics (Q3)']
Science China Information Sciences:  ['Computer Science (miscellaneous)']
ACM Transactions on Modeling and Computer Simulation:  ['Computer Science Applications (Q2)', 'Modeling and Simulation (Q2)']
Performance Evaluation:  ['Computer Networks and Communications (Q2)', 'Hardware and Architecture (Q2)', 'Modeling and Simulation (Q2)', 'Software (Q2)']
International Journal of Computational Methods:  ['Computer Science (miscellaneous)', 'Computational Mathematics (Q3)']
Computer Communications:  ['Computer Networks and Communications (Q2)']
Journal of Intelligent and Fuzzy Systems:  ['Artificial Intelligence (Q2)', 'Engineering (miscellaneous) (Q2)', 'Statistics and Probability (Q3)']
Journal of Functional Programming:  ['Software (Q2)']
Journal of High Technology Management Research:  ['Computer Science Applications (Q2)', 'Information Systems and Management (Q2)', 'Management of Technology and Innovation (Q2)', 'Marketing (Q2)', 'Strategy and Management (Q2)']
ACM Transactions on Sensor Networks:  ['Computer Networks and Communications (Q2)']
Computer Optics:  ['Atomic and Molecular Physics, and Optics (Q2)', 'Computer Science Applications (Q2)', 'Electrical and Electronic Engineering (Q2)']
International Journal of Computer Mathematics:  ['Computer Science Applications (Q2)', 'Applied Mathematics (Q3)', 'Computational Theory and Mathematics (Q3)']
International Journal on Document Analysis and Recognition:  ['Computer Science Applications (Q2)', 'Computer Vision and Pattern Recognition (Q2)', 'Software (Q2)']
Frontiers in Neurorobotics:  ['Artificial Intelligence (Q2)', 'Biomedical Engineering (Q2)']
International Journal of Automation and Computing:  ['Computer Science Applications (Q2)', 'Control and Systems Engineering (Q2)', 'Modeling and Simulation (Q2)', 'Applied Mathematics (Q3)']
International Journal of Applied Cryptography:  ['Computer Networks and Communications (Q2)', 'Applied Mathematics (Q3)', 'Computational Mathematics (Q3)', 'Computational Theory and Mathematics (Q3)']
Graphical Models:  ['Computer Graphics and Computer-Aided Design (Q2)', 'Modeling and Simulation (Q2)', 'Software (Q2)', 'Geometry and Topology (Q3)']
International Journal for Multiscale Computational Engineering:  ['Computational Mechanics (Q2)', 'Computer Networks and Communications (Q2)', 'Control and Systems Engineering (Q2)']
SIGMOD Record:  ['Information Systems (Q2)', 'Software (Q2)']
Empirical Software Engineering:  ['Software (Q2)']
IEEE Software:  ['Software (Q2)']
IEEE Transactions on Very Large Scale Integration (VLSI) Systems:  ['Electrical and Electronic Engineering (Q2)', 'Hardware and Architecture (Q2)', 'Software (Q2)']
Optimization and Engineering:  ['Aerospace Engineering (Q2)', 'Civil and Structural Engineering (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Mechanical Engineering (Q2)', 'Software (Q2)', 'Control and Optimization (Q3)']
Cryptography and Communications:  ['Computer Networks and Communications (Q2)', 'Applied Mathematics (Q3)', 'Computational Theory and Mathematics (Q3)']
Distributed Computing:  ['Computer Networks and Communications (Q2)', 'Hardware and Architecture (Q2)', 'Theoretical Computer Science (Q2)', 'Computational Theory and Mathematics (Q3)']
Design Issues:  ['Arts and Humanities (miscellaneous) (Q2)', 'Computer Graphics and Computer-Aided Design (Q2)']
Formal Methods in System Design:  ['Hardware and Architecture (Q2)', 'Software (Q2)', 'Theoretical Computer Science (Q2)']
Engineering Computations:  ['Computer Science Applications (Q2)', 'Engineering (miscellaneous) (Q2)', 'Software (Q2)', 'Computational Theory and Mathematics (Q3)']
Electronic Journal of e-Learning:  ['Computer Science Applications (Q2)', 'Education (Q2)', 'E-learning (Q2)']
Electronic Library:  ['Computer Science Applications (Q2)', 'Library and Information Sciences (Q2)']
International Journal of Medical Robotics and Computer Assisted Surgery:  ['Computer Science Applications (Q2)', 'Surgery (Q2)', 'Biophysics (Q3)']
